x_position,y_position,z_position
-16.25804874,64.27283515,36.88904074
-16.26101563,64.29714553,36.86647501
-16.2873577,64.2977875,36.84582377
-16.26794886,64.28566291,36.7892369
-16.27024396,64.2527791,36.75383788
-16.25263629,64.23798651,36.67784235
-16.2350557,64.22334303,36.60178054
-16.24388707,64.20946694,36.5049832
-16.23199397,64.24390607,36.38367046
-16.16800315,64.24757864,36.28737541
-16.18224332,64.28308655,36.14519391
-16.14454034,64.34471476,36.04113733
-16.10749794,64.37688201,35.9206708
-16.09316708,64.41497339,35.81832929
-16.03449281,64.49607337,35.67311123
-15.97236254,64.52603145,35.55339793
-15.96310226,64.58427845,35.38897283
-15.95184151,64.64515889,35.24389664
-15.94023735,64.70618176,35.09862397
-15.99968818,64.75110073,34.97245965
-16.11433272,64.81836661,34.76216866
-16.20702037,64.90436768,34.51009301
-16.25292746,65.0335278,34.21389437
-16.27264888,65.13324984,33.9206564
-16.31398183,65.21072605,33.64809316
-16.10351718,65.28082951,33.50526845
-15.97942975,65.22131093,33.55642407
-15.74985047,65.08589351,33.74075907
-15.58806752,64.96244264,33.98165014
-15.46520273,64.74620576,34.33117695
-15.36576444,64.44605763,34.64774566
-15.34709062,64.1400988,34.84162215
-15.31054357,63.87612583,34.95115672
-15.27704685,63.60753108,35.02081315
-15.26808161,63.25835374,35.07781188
-15.23066602,62.74340502,35.15202494
-15.18055659,62.04337883,35.30388979
-15.06400064,61.32524757,35.37675993
-15.04425867,60.59126289,35.44558031
-14.99389016,59.82784703,35.53543469
-15.03874613,59.0218586,35.62321495
-14.97155802,58.27729398,35.64520582
-15.01898378,57.52398472,35.70225066
-14.99220707,56.8155735,35.7553191
-15.06092436,56.16701456,35.71701567
-15.09766013,55.57224255,35.7146506
-15.10155828,55.030974,35.7490273
-15.11859035,54.5695352,35.73558633
-15.11476557,54.21390709,35.71543517
-15.11414828,53.93995044,35.68984854
-15.1310516,53.85444116,35.61154174
-15.20423157,53.93037824,35.41914777
-15.34164356,54.14636461,35.17550294
-15.50082679,54.49407076,34.84035229
-15.66458917,54.97568909,34.47532054
-15.81762031,55.61110605,34.01554421
-15.99138988,56.34994687,33.50231818
-16.15557091,57.39830046,32.89826566
-16.23271398,58.56590356,32.3205905
-16.22084661,59.75429875,31.8420616
-16.22445214,60.8786526,31.55639011
-16.16256694,61.88390565,31.47279434
-16.05027999,62.86323598,31.43179366
-15.98670971,63.75002444,31.50063502
-15.92526466,64.49333833,31.72740072
-15.89890143,65.10108429,31.91904469
-15.87584476,65.61074444,32.17971331
-15.80902474,66.03815612,32.44655329
-15.74420145,66.31260663,32.76810887
-15.63505277,66.44353748,33.04293395
-15.54956133,66.39078531,33.33632072
-15.44148931,66.30114445,33.57255359
-15.37800589,66.14016592,33.8550214
-15.25962456,65.98200967,34.2177108
-15.1961668,65.81211156,34.43899381
-15.18460844,65.6671462,34.59560005
-15.17507274,65.51746929,34.71267602
-15.16785162,65.36313624,34.7903207
-15.11402184,65.25446816,34.84417004
-15.08039896,65.09907817,34.94243315
-15.07597969,64.96675073,34.9774848
-15.02096027,64.83064647,35.03428422
-14.99341741,64.69304346,35.05058744
-14.98934796,64.58736111,35.08242572
-14.98811236,64.53344669,35.0884763
-14.98749465,64.50648583,35.09149635
-15.01078438,64.45550521,35.09646705
-15.00786455,64.4036602,35.1222047
-15.03007694,64.38173823,35.14386652
-15.01063579,64.37251251,35.08575608
-15.02990822,64.2987038,35.13314661
-15.00474358,64.2687608,35.13719906
-15.02804133,64.21774632,35.14211254
-15.08766761,64.02105498,35.26140656
-15.10812097,63.69554251,35.25619675
-15.10654415,63.28170631,35.22031351
-15.06986081,62.76419247,35.27502108
-15.05782896,62.16573729,35.31557341
-15.02281465,61.53468122,35.33787705
-15.0081571,60.85365419,35.38218069
